,Similar sentences,Labels
10,"""Would you like to see them get married?""
A source close to Alex told reporters: ""they have a very good relationship now. They don't want to have another person at home."" Exclusive to Hollywood life
""HL found it
""There's no denying that Jennifer Lopez, 48, and Alex Rodriguez, 42, have a lovely relationship - but are they determined to take it to a new level?""
""In fact, marriage may be just around the corner, but obviously they are completely satisfied with the number of children they have already had!""
""After all, Jennifer has 9-year-old twins Max and Amy, and A-Rod is the proud father of 9-year-old Ella and 13-year-old Natasha.""
""Anyway, the relationship between Jennifer and Alex has never been as strong as it is now!""
""Click here to see a picture of J.Lo & A-Rod's sweet PDA.""
""They all love each other's children, and that's the extra family they need."" That's fair, but that obviously doesn't mean we won't hear the wedding bell in the near future! ""
""Tell us, Hollywood stars - do you think Jennifer and Alex should have more children?""
",
11,"""Obviously, Kelly plans to bring Tommy to as many shows as her schedule and Tommy's sleep schedule allow.""
__ Source added
""They cherish their time with her and know that time alone is very important, so they plan to date, have dinner or watch a movie together in the evening, or stay at home and let family or friends see her...""
""Although they are Kelly and Travis, their lives are very normal in terms of parenting.""
""If one of the parents is working or tied up in activities, the other will step in and take over, or if possible, they will take little stommie to work.""
""Kelly and Travis are very busy, but they're both hands-on parents because they don't want to miss anything that Tommy does,"" a source told entertainment tonight
""The birth of Tommy strengthened their connection as a couple, and they didn't even realize it was possible.""
""In addition to sharing their achievements in their respective fields, they also shared a six-month-old daughter, Tommy Webster. It has been reported that despite their busy lifestyle, they are doing a good job in raising children. ""
""Kelly Jenner recently appeared on the cover of Forbes magazine and became the youngest self-made billionaire. Travis Scott has just released his long-awaited album astroworld, which is loved by everyone.""
",
12,"""For the latest celebrity entertainment, news and lifestyle videos, please subscribe to the YouTube page of American weekly.""
""They're just crazy about each other."" To learn more about Harry and Marcel's romance and her plans to move to London, check out the new issue of American weekly and start now
""But there's an impending introduction that stops Megan markel.""
A friend said the Toronto actress was ""a little nervous"" at the thought of meeting her boyfriend Prince Harry's beloved grandmother, Queen Elizabeth II
""Although it took the Duchess of Kate five years to meet the 91 year old monarch (they chatted at a royal wedding in 2008), Marcel knew that she would curtsey to her majesty before the end of the year.""
This spring, a friend of Harry's said, ""he'd love to make an introduction.""
""Everything will happen at the right time."" The perfect moment came on September 3
""Just ended the three week holiday in Botswana and Zambia -- a source known as the"" journey of life ""- the royal family member, with a 36 year old horse, Kerr, heading north more than 500 miles from his two bedroom Kensington Palace.
""Since their father Prince Charles and stepmother Camilla (Duchess of Cornwall) live in bilharle, this is their 53000 Acre Estate in Aberdeen, Scotland,"" Harry decided to take Megan to visit because he didn't get up all summer, ""one of Harry's sources explained in the new issue of American weekly
Another motive for the two-day trip, the source said, ""he wants to introduce Megan to the queen."" So, 24 hours after their arrival on September 2, they suddenly arrived at Balmoral Castle, the Queen's summer resort, seven miles away
",
13,"""Clooney film, 92 of 264 best actors, today's work, 187 of 017 best actors, best actor in film history...""
""While working in the emergency room, he began to attract all kinds of protagonists in films. In 1996, he played a breakthrough role in twilight to dawn. In 1998, he played the crime comedy invisible in over 59. Over 59 was born in Lexington, Kentucky, USA, George Clooney, the best George...""
__ Nominations... ""
""In 2018, he won the AFI Lifetime Achievement Award. Clooney made his debut on TV in 1978, and later played Dr. Doug Ross in the 1994-1999 medical drama emergency room, which won wide recognition and won two Emmy golden time Awards...""
""He won three Golden Globes and two Oscars, one for the performance of the Syrians (2006) and the other for the co production of Argo (2012)
George Timothy Clooney (born May 6, 1961) is an American actor and filmmaker
""They've all been in ocean movies, and everyone knows they're on holiday together.""
""George Clooney, Brad Pitt and George Clooney have been friends for many years.""
",
14,"""Email us tips@radaronline.com , or call the (866) radar (667-2327) at any time. ""
""Do you have a story to tell RadarOnline.com 锛_
""We pay for interesting information!""
""Rob Shuter of straight Shuter has all the latest gossip.""
""Tickets are now available online.""
""The premiere night of the musical friends is October 13.""
Radar can reveal: ""she regards the hit shows as her legacy, and if she doesn't like the way they are portrayed in the remake, she will take legal action without hesitation.""
""She will try her best to protect her brand, because her portrayal of Rachel is the first motivation for her to become a star!""
""A source told strickleshott that Aniston and her lawyer will study the script carefully before the play is officially produced.""
""The show will bring back all six of the main characters of the 1994-2004 series, but the main heroine of the sitcom is not sure, which is a good idea for the legendary comedy.""
",
15,"""Here's the full list of winners.""
Israel's del Toro won the Pat Tillman Service Award, Brian Cranston won the Los Angeles Dodgers retired announcer van Scully's idol award, and New Orleans Saint super fan jarios ""JJ"" Robertson won the Jimmy V Award for perseverance
During the performance, Michelle Obama also presented the Arthur Ashe courage award to Eunice Kennedy Shriver, founder of the Special Olympics, and Jon Stewart presented the staff sergeant medal
""The power of the important people.""
""This is the peak of 108 years' development momentum.""
""108 years of waiting is not a moment,"" Murray joked as he drank champagne to celebrate the bear
Bill Murray received the best time award for the Chicago Cubs, who won the world series for the first time since 1908
""The winners were chosen entirely by online voting.""
Payton Manning hosted the 25th annual event, which was broadcast live on ABC at 8pm est
""On Wednesday night, when the ESPY awards ceremony was held in Los Angeles, there was a clash between the entertainment and sports circles.""
",
16,"""It's your feeling and inner commitment to someone.""
""There's some sadness.""
""I'm going to have a girl's night.""
""But just live in the moment, feel every bit of pain, and then wake up the next day and say,"" OK, I'm going to ride my pony. ""
""I don't necessarily want to know that there are a lot of bad, long, lonely nights ahead of me, but I've had some, and there's a lot ahead of me.""
""Some might mean crying on my porch at night, drinking whiskey and saying, 'man, it's terrible now.'""
""I just want a life full of everything,"" she told the magazine
She also said that she ""will not be the kind of artist who indulges in my pain so that I can become an artist.""
""My favorite record is not because people live a completely happy life.""
""That's where I want to live.""
",
17,"""Please visit the person in charge of the relevant project and report any concerns about content or accuracy.""
""News articles, tweets and blog posts don't represent IMDB's opinions, and we can't guarantee that the reports in them are completely true.""
""This content is published just to entertain our users.""
""About the affair between Scarlett Johnson and Colin Jost, anchor of weekend update, as ] IMDb.com , Inc. assumes no responsibility for the content or accuracy of the above news articles, tweets or blog posts. ""
""That's what a new tabloid said on Monday, but gossip police has the truth.""
Is Ron Michaels, the creator of ""live on Saturday night,"" angry that the actors and crew of the skit collude with celebrity guest hosts? ""
",
18,"""Both stars have projects to promote in Sundance - Darren, 43, has been showing his new virtual reality project, the sphere: the song of time and space, while Suki, 26, plays with Bella Thorne in the upcoming film Assassin's country.""
""Back in video, Darren was photographed holding the British beauty, who took an afternoon walk and stopped in front of a restaurant.""
Try refreshing your browser, or Darren Aronofsky and Suki Waterhouse are dating? ""
__ Click here to see other videos of our team. ""
""Sorry, this video can't be loaded.""
Black Swan director Jennifer Lawrence broke up with actress Jennifer Lawrence in November last year. It seems that he cheated with Suu Kyi on Monday while attending the park city Sundance Film Festival and has a new woman since then
""Filmmaker Darren Aronofsky sparked rumors of a new relationship with Suki Waterhouse after a cozy lunch with a model and actress in Utah.""
",
19,"Sharp eyed fans tweeted their excitement, hoping they could ""start over But this time it means forever. "" Sadly, for these fans, the only way to see Bella and Edward reunite is on Stephanie Meyer's page
__ They will be very friendly when they meet in public... ""
""Kristen Stewart and Robert Pattinson are reunited and fans are cheering for twilight, but we've got exclusive information on whether the two ex girlfriends will get back together.""
""For a moment, Edward Cullen and Bella Swan became a couple again, and for Twilight fans, everything was fine in the world.""
On June 1, former lovers Robert Pattinson, 28, and Kristen Stewart, 32, attended Lily Rose Depp's 19th birthday party
""But don't expect their love to come back from the grave.""
""For Rob and Christine, there is no possibility of any kind of romantic reconciliation,"" a source close to rob told Hollywood life
""The ship really sailed well. There was so much traffic between them that they could never reunite like this again.""
""Plus Christine is really happy to have an amazing relationship with Stella Maxwell, and without the opportunity, rpatz and kstew will date again, which is not all bad news. The source told Hollywood website that rob thought it was great that they finally got to a place...""
""Rob wants to see more Christine. He still cares about her. Maybe she will always be his first love. As for Christine, when she sees rob, she feels a little embarrassed, because she is still full of guilt about their romantic ending...""
",
20,"""Please share in the comments below.""
""She's excited about winning the Best Actress Oscar - something neither she nor Angelina thought of."" ""He still thinks Jen is the love of his life,"" the source said, ending. Do you have anything to add? ""
""He wants Jen to be involved again in the production and development of more and more high-quality movies and cable TV products."" This professional partnership is also good for Zhan, because people familiar with the matter say she hopes to participate in the prestige project under his production banner
""Robo star wants Jan to be his partner in other fields. Contact further reports that they worked very well when they set up production company plan B in 2001, Brad informed contact...""
""Jennifer has been married to Justin Cyrus, CO star of roamer, for two years. Although Brad never dreamed of ruining his ex-wife's new marriage, if they can't be romantic partners in the war, he will fall in love with her again in a flash...""
""Brad kept telling his friends that he saw everything better."" However, it is obviously too late to realize this
""Although he didn't love Jane, he realized how much he loved her.""
""He has realized that leaving Jane for Angelina is one of the biggest mistakes of his life,"" the source added
Now, however, he has ""unprecedented access to emotion and his true self,"" the source said, she said. And then it seems that this self-awareness is accompanied by some great understanding. ""
""Years later, Brad regretted leaving friends star for his ex girlfriend Angelina Jolie,"" a source told touch. Following his separation from Angie in 2016, Brad woke up and sought treatment. ""
",
21,"""[selected pictures of Pascal Le segreat / Getty Images for vogue]
""In addition to meeting with the therapist, Kim Kardashian arranged a meditation for her sister after learning about Kendall's dilemma.""
""OK's latest report!""
__ Through gossip police claim that Victoria's Secret mode is a boss from hell who makes life difficult for people who work for her. ""
""Everyone thinks that she is the most lovely and shy sister of Kardashian, but in the past year, she has made so much money and won so many praises, all of which are on her head. The magazine's so-called inside story recalls an example when Kendall's assistant provided her with the wrong type...""
__︹ Drinking iced tea, it is reported that Kendall not only does not appreciate her paying for a new one, but insiders also claim that T-stage models will fire employees who try to talk about her behind her back.... ""
""What she is said to have done is to tell her mother, Chris Jenner, that the employee is incompetent.""
""However, the gossip police revealed some information about the issue and confirmed through a source close to Kendall that the magazine's statement is groundless.""
""As a person with first-hand experience of bullying, it would be unfair for Kendall to do the same to her team.""
""Just last month, Victoria's Secret Angel Adriana Lima defended Kendall from bullying and admitted that she had a happy attitude.""
",
22,"""She now feels the burden of the world on her shoulders and her family is very worried about her.""
However, the source still used ""Britney still has to fight with some major demons every day, and her workload has never been reduced"" to describe the current situation
""Despite the ongoing custody dispute with former Kevin Federline, radar online reports that Britney Spears may have other things to do to explain her eccentric behavior.""
""This article reveals the following news: spears very much hopes Sam asgary can propose to her, but after a series of successful performances in Las Vegas, he procrastinates and delays. It is said that spears immediately turns her attention to marry her 23-year-old daughter...""
__ Old boyfriend... ""
""The same source claimed that the real reason for Spears' impatience was that she was eager to have a baby with asgali.""
""All she can say now is to have children.""
""She wanted a girl so much that she fell madly in love with Sam."" However, asgali is obviously hesitant about the progress of Spear's marriage because he may not be ready to settle down with the famous performer
""While all this happened, spears also fell into a fierce legal battle with his predecessor Federline.""
""It is reported that he asked the stars to provide more money for their spouses and children to help take care of themselves and their children, Sean and Jaden.""
",
23,"""Related kitchen related items...""
""Watch entertainment on Yahoo view tonight and use it on IOS and Android.""
""To learn more about the chaotic breakup of spice girls, please see the video below.""
""Watch: Nick Cannon, Simon Cowell, Sharon Osborne and the argot stars support Mel B in the divorce. A few days later, Belafonte, who denied the charges, filed a petition to raise their five-year-old daughter Madison together, to ask for support from her spouse, and to ask Mel to pay his lawyer's fees, and he responded. ""
The next month, the singer received a restraining order against her separated husband, accusing bellafonte of beating and threatening her during their nearly 10-year marriage
""Mel filed for divorce in March this year after nearly 10 years of marriage.""
""The 42 year old artist is now in the process of breaking up with her ex boyfriend, Stephen Belafonte, for a long time and fiercely.""
__ About her controversial divorce... ""
""The picture shows Kevin Mazur Getty Images, a fashionable singer and TV star famous for swinging some unusual clothes, such as the black and blue tights she wore on the recent AGT live show. Many fans speculate that this dress may be a less subtle comment...""
""Photo: Kevin mazul / Getty imesworch: Mel B is sexy in a pure superhero tights, and tells her candidly about her dating life in a golden robe, with bright colored letters and the words"" you'll never have me. ""
",
24,"""It's your feeling and inner commitment to someone.""
""There's some sadness.""
""I'm going to have a girl's night.""
""But just live in the moment, feel every bit of pain, and then wake up the next day and say,"" OK, I'm going to ride my pony. ""
""I don't necessarily want to know that there are a lot of bad, long, lonely nights ahead of me, but I've had some, and there's a lot ahead of me.""
""Some might mean crying on my porch at night, drinking whiskey and saying, 'man, it's terrible now.'""
""I just want a life full of everything,"" she told the magazine
She also said that she ""will not be the kind of artist who indulges in my pain so that I can become an artist.""
""My favorite record is not because people live a completely happy life.""
""That's where I want to live.""
",
25,"""Jennifer Aniston didn't comment on the rumors surrounding her marriage.""
""Although the actress keeps a distance from her family, they are very proud of her achievements and wish her all the best in the future.""
""It's been more than a decade since Brad Pitt and Jennifer Aniston broke up, but their love story is not over yet.""
After the dramatic breakup between Pitt and Angelina Jolie, inside sources say Pitt and Aniston are shooting their love a second time
""Is this Aniston Pitt's greatest love?""
""Pete and Aniston have been getting closer in the past year.""
""It is reported that Pete took the initiative to contact Aniston after the divorce and reestablished contact with Aniston.""
""He also apologized for breaking up with her, trying to make up for what hurt her.""
After meeting Jennifer Aniston and Angelina Jolie at the Golden Globes, Timothy chalamit said to her sister, ""my God
""Which side are we on?""
",
26,"_5._
""News.""
_'_2._
""Because if I don't, I'm going to die.""
""I'll use it now.""
""It wasn't until I had to go through the worst tragedy that it really opened a channel for me, making me feel like"" God gave me a gift. ""
""She has released a new album, including a single called once loved you."" ""It's a life-saving record for me,"" she told time
""Gwen is reported to have had a messy divorce with Gavin Rosedale after she found out he was cheating.""
""Although the singer made a new album about the end of the relationship, the reason for the divorce is still a mystery.""
""Since then, I have painfully realized that my marriage will not bear fruit,"" he told billboard
",
27,"""However, it's not clear how long the relationship lasted, because they have broken up.""
""The two celebrities made their relationship public on instagram.""
""However, it has been confirmed that the rumor of breaking up is not true.""
__ One month old... ""
__ Photography contributed by Steve granitz Getty in November 2011, jelina was apparently rumored that Gomez dumped a Canadian pop star and began to surface after a Bieber fan claimed that she had sex with him backstage on a show in October 2010 and that he was the father of her four children
""Oh, young love.""
__ Photographer Kevin mazul / writer / Getty Mae 2011: Billboard Music Awards: Jenna looks happy and strong at the Billboard Music Awards. ""
""Aren't they cute?""
""Jon kopaloff photo / filmmagic February 2011: Jelena stepped on the red carpet of the vanity fair Oscar Party. They walked on the red carpet together for the first time and finally realized our dream, thus proving their young love.""
""But it wasn't until January 2011 that the two pop stars confirmed their romance by taking part in a big PDA while on holiday in Saint Lucia.""
",
28,"""To all my great colleagues, I will miss you and I will support you.""
""I'm excited about the next chapter, too.""
""The National Association of Black Journalists is sad that Tamron hall has left NBC,"" the group wrote on its website on Wednesday, February 1
""She broke the ground as the co host of the first black female 'today show'. In the third hour of the show, she enjoyed the success of ratings with Al rock.""
""NBC has always been a leader in broadcasting diversity, but recent reports that hall and rock will be replaced by former Fox News Anchor megyn Kelly have been whitewashed by industry professionals."" On Thursday, a NBC spokesman made a response
""NBC news, as a diversified industry leader in newsrooms, has a long and tested history,"" the statement said
""We will continue years of ongoing dialogue with the National Association of Black Journalists and other advocacy groups to advance these goals."" Earlier this week, NBC announced that hall, 46, would leave NBC and MSNBC
""She joined today show in 2014 and MSNBC in 2007.""
""Tamron hall will leave NBC news and MSNBC when his contract expires this month,"" the company said in a statement on Wednesday
""January 31 is her last day as an anchor on two TV stations.""
",
29,"""He seems to have passed a trough.""
One mole revealed that the Oscar winner seemed to be ""in such a high mood that he hasn't been for a long time.""
""The encounter obviously cheered Brad up. He has been looking skinny since his stressful breakup with Angie.""
One of the informants said, ""well Xiao s, who starred in the adventure drama, enjoyed each other's company very much. They talked all night
""The spies found that Angelina Jolie's estranged husband was seriously flirting with the blonde Sienna Miller at a private dinner with a group of friends when they were celebrating the premiere of"" lost Z city. ""Brad's production company plan B, Brad and Sienna's new film, Brad and Sienna...""
""Brad Pitt, who is going to be a bachelor, is back!""
__︹ It's going to make Angelina Jolie furious... ""
""Click Share on Twitter to open in a new window. Click Share on Facebook to open in a new window. Brad Pitt was caught in an intimate dinner with Siena Miller. Brad Pitt was caught in an intimate dinner with Siena Miller. Brad Pitt was caught in all the dirty details in an intimate dinner with Siena Miller...""
",
30,"""When former Foreign Secretary William Hage met at a film screening in 2011, he was fascinated by Angie's good works. A few days later, he watched"" he's connected with the love bombing again. ""
""Unlike some critics who think the dialogue is clumsy, or one critic who calls it"" chaotic, unnatural war porn, ""he wrote her an email in which he was engrossed in saying that he thought the dialogue was"" comparable to Shakespeare ""and that the plot was"" so strong that I'm still recovering. ""
""Angie may be the sexiest woman in the world, but is it possible that after evading hundreds of well-trained soldiers, a war criminal and an accused Holocaust murderer will relax their vigilance just for a dinner date?""
""Not surprisingly, they caused quite a stir.""
""Maybe Brad (her third husband, Pete) will go too."" The emails were found in 40000 documents obtained by the French research website Mediapart and shared with the ""insight group"" of the Sunday Times
""She's ready.""
""She likes to arrest coney.""
In another email, Moreno Ocampo excitedly wrote: ""forget the other celebrities. She's the one.""
""And, as a leaked email from Moreno Ocampo explains, once settled, she"" has the idea of inviting coney to dinner and arresting him. ""
""Instead, Angie will be placed in U.S. special forces close to Kony's stronghold in northern Uganda, acting as a trap.""
",
31,"""Listen to more in the video below.""
""Parents are committed to achieving recovery and unity as a united front.""
__ Quickly resolve any remaining issues, state as follows... ""
""Looking at Angelina Jolie Brad Pitt's first joint statement on the occasion of the divorce, the parties and their lawyers have signed an agreement to keep all court documents confidential and to engage a private judge to make any necessary legal decisions to protect the privacy of their children and families and to
Earlier this month, Pitt, 53, and Julie, 41, issued their first joint statement since their breakup in September, signing an agreement to keep all court documents confidential
""(Brad's team) has never talked about children, and it won't start now.""
""(Brad's team) strictly abides by the privacy agreement between them,"" the source said
__ I don't know these requirements... ""
""As for contact magazine's report that Pitt's separated wife, Angelina Jolie, has asked for a monthly maintenance of 10000 pounds for their six children, 15 from Maddox, 13 from Zahara, 11 from Shiloh and 8 from twins Vivian and Knox, the source told et that the cast is...""
__ In a private suite in casadelma, a resort in Santa Monica, California, he attended a drug anonymous group Party
",
32,"""So I thought, I can use this..."" Vevoso concluded: please sit down, Kanye
__ The bath surrounded by pearls... ""
""She collects men all over the world, she can get any one of them, but she is so clingy, they leave, she cries, she gets another in her net, she traps them, locks them in her mansion, she cries in her marble...""
""But then my second reaction was, hey, it's actually a very interesting character they wrote.""
__ I am
""This may also be an affirmation of Taylor's following statement about the media. Every article describes my personality, which is totally different from my actual personality. My first reaction is that he is a tramp, which is not fun for me...""
""This may be a reference to her sexual assault trial, because you can see a dollar bill in the bathtub, which is exactly what Taylor needs to win the case.""
""But at the end of the day, Tay has not confirmed that the scene was about the Paris attack.""
__ Because of the understated robbery... ""
""Kanye doesn't think it's cool, because it's a very serious and dangerous situation. In the end, he just thinks Taylor shouldn't laugh at Kanye. He's not the only one to say that, because many critics and fans criticize Tay...""
",
33,"""Hollywood Life contacted representatives of rob and Sienna for advice.""
""I remember my actor finally fell in love with twig's music, and the couple introduced them.""
""In 2014, it was reported that rob, Siena and her ex fiance Tom Sturridge all went to the singer's concert together.""
""A source told me!""
""It's definitely an interesting game, although considering Siena who set up the Twilight star with his ex fiance FKA twig.""
""When they promoted their film"" lost Z City ""at the Berlin International Film Festival in February 2017, the two of them seemed very comfortable when they took photos together and had dinner together.""
""Rob and Sienna always seem to be close.""
""All of their mutual friends think rob and Siena will be a good couple,"" the person familiar with the matter said
""As for the two's friends, it is reported that they think the two will cooperate very well.""
""Since they are all single, the door is open for them to give this a real opportunity,"" the source continued
",
